(query, datetime, avg_temp, avg_speed, confidence, weather)
('Ann Arbor', 20191204, 46.77499999999999, 50.5, 0.9671428671904972, 'Clouds')
('Ann Arbor', 20191205, 46.995000000000005, 54.0, 0.9572727287357504, 'Clouds')
('Ann Arbor', 20191206, 44.10058823529412, 51.44444444444444, 0.8879310468147541, 'Clouds')
('Ann Arbor', 20191207, 45.00176470588235, 52.55555555555556, 0.9182758865685299, 'Clouds')
('Ann Arbor', 20191208, 50.68588235294118, 53.22222222222222, 0.8910345044629328, 'Clouds')
('Ann Arbor', 20191209, 52.23206703910613, 54.898989898989896, 0.9041137256749896, 'Rain')
('Ann Arbor', 20191210, 42.03878504672896, 54.16949152542373, 0.9359776687355681, 'Clouds')
('Ann Arbor', 20191211, 40.973461538461535, 53.357142857142854, 0.9320454760031267, 'Snow')
('Ann Arbor', 20191204, 46.77499999999999, 50.5, 0.9671428671904972, 'Clouds')
('Ann Arbor', 20191205, 46.995000000000005, 54.0, 0.9572727287357504, 'Clouds')
('Ann Arbor', 20191206, 44.10058823529412, 51.44444444444444, 0.8879310468147541, 'Clouds')
('Ann Arbor', 20191207, 45.00176470588235, 52.55555555555556, 0.9182758865685299, 'Clouds')
('Ann Arbor', 20191208, 50.68588235294118, 53.22222222222222, 0.8910345044629328, 'Clouds')
('Ann Arbor', 20191209, 52.23206703910613, 54.898989898989896, 0.9041137256749896, 'Rain')
('Ann Arbor', 20191210, 42.03878504672896, 54.16949152542373, 0.9359776687355681, 'Clouds')
('Ann Arbor', 20191211, 40.973461538461535, 53.357142857142854, 0.9320454760031267, 'Snow')
